bowtie2_Mutect2	bowtie2_TNscope	bwa_Mutect2	bwa_TNscope	dragmap_Mutect2	dragmap_TNscope	hisat2_Mutect2	hisat2_TNscope	Total_Variants	TP	Recall	Precision	F1score
1	0	0	0	0	0	0	0	1174	524	0.9721706864564007	0.4463373083475298	0.6117921774664332
0	1	0	0	0	0	0	0	834	494	0.9165120593692022	0.592326139088729	0.71959213401311
0	0	1	0	0	0	0	0	1263	535	0.9925788497217068	0.4235946159936659	0.5937846836847948
0	0	0	1	0	0	0	0	835	509	0.9443413729128015	0.6095808383233533	0.7409024745269287
0	0	0	0	1	0	0	0	1265	535	0.9925788497217068	0.42292490118577075	0.5931263858093127
0	0	0	0	0	1	0	0	848	509	0.9443413729128015	0.6002358490566038	0.7339581831290555
0	0	0	0	0	0	1	0	998	500	0.9276437847866419	0.501002004008016	0.6506180871828237
0	0	0	0	0	0	0	1	974	454	0.8423005565862709	0.46611909650924027	0.6001321877065433
1	1	0	0	0	0	0	0	683	494	0.9165120593692022	0.7232796486090776	0.8085106382978723
1	0	1	0	0	0	0	0	1116	524	0.9721706864564007	0.46953405017921146	0.6332326283987915
1	0	0	1	0	0	0	0	699	503	0.9332096474953617	0.7195994277539342	0.8126009693053311
1	0	0	0	1	0	0	0	1118	524	0.9721706864564007	0.46869409660107336	0.6324683162341581
1	0	0	0	0	1	0	0	705	503	0.9332096474953617	0.7134751773049646	0.8086816720257235
1	0	0	0	0	0	1	0	948	499	0.9257884972170687	0.5263713080168776	0.6711499663752523
1	0	0	0	0	0	0	1	609	454	0.8423005565862709	0.7454844006568144	0.7909407665505226
0	1	1	0	0	0	0	0	691	494	0.9165120593692022	0.7149059334298119	0.8032520325203252
0	1	0	1	0	0	0	0	700	489	0.9072356215213359	0.6985714285714286	0.7893462469733656
0	1	0	0	1	0	0	0	691	494	0.9165120593692022	0.7149059334298119	0.8032520325203252
0	1	0	0	0	1	0	0	701	489	0.9072356215213359	0.6975748930099858	0.7887096774193548
0	1	0	0	0	0	1	0	651	474	0.8794063079777366	0.728110599078341	0.7966386554621848
0	1	0	0	0	0	0	1	777	452	0.8385899814471243	0.5817245817245817	0.6869300911854104
0	0	1	1	0	0	0	0	727	509	0.9443413729128015	0.7001375515818432	0.8041074249605056
