Sample	Pipeline	Recall	Precision	F1score	Recall_avg	Precision_avg	F1_avg	Shape
SRR13076390	Bowtie2_DeepVariant	0.271711	0.810813	0.407024	0.27620344444444445	0.8162826666666666	0.41272422222222227	o
SRR13076390	Bowtie2_DRAGEN-C	0.934322	0.989529	0.961134	0.9318556666666665	0.9860349999999999	0.9575875555555555	o
SRR13076390	Bowtie2_Mutect2	0.953615	0.96046	0.957025	0.9494371111111111	0.9199514444444444	0.9336362222222222	o
SRR13076390	Bowtie2_TNscope	0.881866	0.982436	0.929439	0.8729819999999999	0.9864581111111111	0.9259671111111112	o
SRR13076390	BWA_DeepVariant	0.312768	0.851673	0.457518	0.30823311111111107	0.8490867777777777	0.4522746666666666	o
SRR13076390	BWA_DRAGEN-C	0.962878	0.981436	0.972068	0.9527325555555556	0.9788714444444443	0.9653362222222223	o
SRR13076390	BWA_Mutect2	0.955919	0.968468	0.962153	0.9534338888888888	0.9444322222222223	0.948591111111111	o
SRR13076390	BWA_TNscope	0.894176	0.988042	0.938768	0.8858252222222222	0.9866044444444443	0.9333746666666668	o
SRR13076390	DRAGEN-A_DeepVariant	0.310849	0.84783	0.454909	0.30790022222222224	0.8487705555555556	0.45186922222222214	o
SRR13076390	DRAGEN-A_DRAGEN-C	0.963742	0.981644	0.97261	0.9540311111111112	0.978683888888889	0.9659212222222222	o
SRR13076390	DRAGEN-A_Mutect2	0.956015	0.968989	0.962458	0.9534152222222221	0.945354	0.9490506666666667	o
SRR13076390	DRAGEN-A_TNscope	0.89672	0.971052	0.932407	0.8908938888888888	0.9389691111111111	0.9139183333333334	o
SRR13076390	DRAGMAP_DeepVariant	0.313272	0.85071	0.457918	0.30808911111111104	0.8489417777777778	0.4520961111111112	o
SRR13076390	DRAGMAP_DRAGEN-C	0.963166	0.979932	0.971476	0.9531458888888888	0.9773905555555553	0.9648273333333334	o
SRR13076390	DRAGMAP_Mutect2	0.956111	0.963206	0.959645	0.9534605555555556	0.9377663333333334	0.9451563333333333	o
SRR13076390	DRAGMAP_TNscope	0.89672	0.968611	0.93128	0.8906085555555554	0.9357282222222223	0.9122112222222221	o
SRR13076390	HISAT2_Mutect2	0.948696	0.962601	0.955598	0.9468294444444445	0.9334461111111112	0.9395215555555555	o
