Sample	Aligner	Caller	Counts	TMB	Tools	position	TMB/MB
SRR13076396	BWA	DRAGEN-C	20774	0.000922487	BWA_DRAGEN-C	8	922.4870000000001
SRR13076396	DRAGEN-A	DRAGEN-C	20832	0.000925062	DRAGEN-A_DRAGEN-C	6	925.062
SRR13076391	DRAGEN-A	DRAGEN-C	21040	0.000934299	DRAGEN-A_DRAGEN-C	6	934.299
SRR13076396	Bowtie2	DRAGEN-C	20431	0.000907256	Bowtie2_DRAGEN-C	5	907.256
SRR13076391	DRAGMAP	DRAGEN-C	21041	0.000934343	DRAGMAP_DRAGEN-C	7	934.3430000000001
SRR13076395	DRAGMAP	DRAGEN-C	20029	0.000889405	DRAGMAP_DRAGEN-C	7	889.405
SRR13076395	DRAGEN-A	DRAGEN-C	20013	0.000888694	DRAGEN-A_DRAGEN-C	6	888.694
SRR13076392	Bowtie2	DRAGEN-C	20939	0.000929814	Bowtie2_DRAGEN-C	5	929.8140000000001
SRR13076395	BWA	DRAGEN-C	19997	0.000887984	BWA_DRAGEN-C	8	887.9839999999999
SRR13076395	Bowtie2	DRAGEN-C	18981	0.000842867	Bowtie2_DRAGEN-C	5	842.867
SRR13076392	BWA	DRAGEN-C	21279	0.000944912	BWA_DRAGEN-C	8	944.912
SRR13076394	DRAGMAP	DRAGEN-C	20012	0.00088865	DRAGMAP_DRAGEN-C	7	888.6500000000001
SRR13076392	DRAGEN-A	DRAGEN-C	21274	0.00094469	DRAGEN-A_DRAGEN-C	6	944.6899999999999
SRR13076394	DRAGEN-A	DRAGEN-C	19994	0.00088785	DRAGEN-A_DRAGEN-C	6	887.85
SRR13076394	BWA	DRAGEN-C	19953	0.00088603	BWA_DRAGEN-C	8	886.03
SRR13076392	DRAGMAP	DRAGEN-C	21284	0.000945134	DRAGMAP_DRAGEN-C	7	945.134
SRR13076394	Bowtie2	DRAGEN-C	19128	0.000849395	Bowtie2_DRAGEN-C	5	849.395
SRR13076393	DRAGMAP	DRAGEN-C	18523	0.000822529	DRAGMAP_DRAGEN-C	7	822.529
SRR13076393	DRAGEN-A	DRAGEN-C	18544	0.000823462	DRAGEN-A_DRAGEN-C	6	823.462
SRR13076393	Bowtie2	DRAGEN-C	17119	0.000760184	Bowtie2_DRAGEN-C	5	760.184
SRR13076391	BWA	DRAGEN-C	21027	0.000933722	BWA_DRAGEN-C	8	933.722
SRR13076396	DRAGMAP	DRAGEN-C	20926	0.000929237	DRAGMAP_DRAGEN-C	7	929.237
SRR13076393	BWA	DRAGEN-C	18474	0.000820353	BWA_DRAGEN-C	8	820.3530000000001
SRR13076397	Bowtie2	DRAGEN-C	20126	0.000893712	Bowtie2_DRAGEN-C	5	893.712
SRR13076397	DRAGMAP	DRAGEN-C	20674	0.000918046	DRAGMAP_DRAGEN-C	7	918.046
SRR13076390	DRAGMAP	DRAGEN-C	20533	0.000911785	DRAGMAP_DRAGEN-C	7	911.7850000000001
SRR13076398	BWA	DRAGEN-C	20549	0.000912496	BWA_DRAGEN-C	8	912.4960000000001
SRR13076397	DRAGEN-A	DRAGEN-C	20634	0.00091627	DRAGEN-A_DRAGEN-C	6	916.27
SRR13076398	Bowtie2	DRAGEN-C	20157	0.000895088	Bowtie2_DRAGEN-C	5	895.0880000000001
SRR13076398	DRAGEN-A	DRAGEN-C	20627	0.000915959	DRAGEN-A_DRAGEN-C	6	915.9590000000001
SRR13076390	BWA	DRAGEN-C	20479	0.000909387	BWA_DRAGEN-C	8	909.387
SRR13076398	DRAGMAP	DRAGEN-C	20662	0.000917513	DRAGMAP_DRAGEN-C	7	917.513
SRR13076391	Bowtie2	DRAGEN-C	20525	0.00091143	Bowtie2_DRAGEN-C	5	911.43
SRR13076390	Bowtie2	DRAGEN-C	19605	0.000870576	Bowtie2_DRAGEN-C	5	870.576
SRR13076397	BWA	DRAGEN-C	20583	0.000914005	BWA_DRAGEN-C	8	914.005
