Bin	Known	bwa_Mutect2_TP	Dragen_A_Dragen_C_TP	Dragmap_TNscope_TP	bwa_Mutect2_FP	Dragen_A_Dragen_C_FP	Dragmap_TNscope_FP	bwa_Mutect2_FN	Dragen_A_Dragen_C_FN	Dragmap_TNscope_FN
0.01	1015.0	747.0	822.0	192.0	639.0	593.0	238.0	268.0	193.0	823.0
0.02	2847.0	2610.0	2711.0	1247.0	323.0	212.0	85.0	237.0	136.0	1600.0
0.03	4617.0	4558.0	4569.0	3795.0	167.0	128.0	122.0	59.0	48.0	822.0
0.04	5492.0	5477.0	5483.0	5194.0	83.0	64.0	69.0	15.0	9.0	298.0
0.05	2589.0	2587.0	2584.0	2557.0	30.0	36.0	24.0	2.0	5.0	32.0
0.06	1559.0	1559.0	1558.0	1550.0	11.0	27.0	16.0	0.0	1.0	9.0
0.07	1688.0	1688.0	1688.0	1687.0	13.0	16.0	18.0	0.0	0.0	1.0
0.08	1518.0	1517.0	1517.0	1518.0	7.0	2.0	4.0	1.0	1.0	0.0
0.09	1054.0	1054.0	1054.0	1054.0	5.0	3.0	0.0	0.0	0.0	0.0
0.1	815.0	814.0	814.0	814.0	7.0	3.0	2.0	1.0	1.0	1.0
0.11	658.0	658.0	658.0	658.0	9.0	6.0	8.0	0.0	0.0	0.0
0.12	598.0	596.0	598.0	598.0	12.0	2.0	5.0	2.0	0.0	0.0
0.13	584.0	582.0	584.0	584.0	4.0	4.0	2.0	2.0	0.0	0.0
0.14	580.0	579.0	579.0	579.0	2.0	3.0	1.0	1.0	1.0	1.0
0.15	511.0	510.0	511.0	510.0	3.0	0.0	2.0	1.0	0.0	1.0
0.16	431.0	430.0	431.0	431.0	3.0	3.0	2.0	1.0	0.0	0.0
0.17	419.0	419.0	418.0	419.0	4.0	7.0	2.0	0.0	1.0	0.0
0.18	405.0	402.0	403.0	403.0	2.0	2.0	1.0	3.0	2.0	2.0
0.19	396.0	394.0	394.0	394.0	2.0	3.0	0.0	2.0	2.0	2.0
0.2	375.0	373.0	374.0	374.0	1.0	0.0	1.0	2.0	1.0	1.0
0.21	371.0	371.0	371.0	371.0	1.0	0.0	0.0	0.0	0.0	0.0
0.22	347.0	346.0	347.0	347.0	2.0	0.0	0.0	1.0	0.0	0.0
0.23	314.0	314.0	314.0	314.0	1.0	1.0	0.0	0.0	0.0	0.0
0.24	336.0	334.0	336.0	335.0	0.0	0.0	0.0	2.0	0.0	1.0
0.25	304.0	303.0	303.0	303.0	0.0	2.0	0.0	1.0	1.0	1.0
0.26	293.0	293.0	293.0	293.0	1.0	1.0	1.0	0.0	0.0	0.0
0.27	317.0	315.0	316.0	315.0	2.0	1.0	0.0	2.0	1.0	2.0
0.28	297.0	296.0	297.0	297.0	1.0	0.0	0.0	1.0	0.0	0.0
0.29	302.0	302.0	302.0	302.0	0.0	0.0	0.0	0.0	0.0	0.0
0.3	266.0	265.0	266.0	265.0	1.0	0.0	0.0	1.0	0.0	1.0
0.31	254.0	254.0	254.0	254.0	0.0	1.0	2.0	0.0	0.0	0.0
0.32	240.0	239.0	239.0	239.0	1.0	2.0	1.0	1.0	1.0	1.0
0.33	240.0	238.0	240.0	240.0	2.0	0.0	0.0	2.0	0.0	0.0
0.34	245.0	244.0	244.0	244.0	1.0	5.0	1.0	1.0	1.0	1.0
0.35	242.0	239.0	239.0	239.0	2.0	2.0	2.0	3.0	3.0	3.0
0.36	218.0	218.0	218.0	218.0	1.0	0.0	0.0	0.0	0.0	0.0
0.37	212.0	212.0	212.0	212.0	1.0	0.0	0.0	0.0	0.0	0.0
0.38	194.0	193.0	194.0	194.0	0.0	0.0	0.0	1.0	0.0	0.0
0.39	221.0	221.0	221.0	221.0	3.0	2.0	2.0	0.0	0.0	0.0
0.4	212.0	211.0	212.0	211.0	1.0	0.0	0.0	1.0	0.0	1.0
0.41	188.0	187.0	188.0	188.0	1.0	0.0	0.0	1.0	0.0	0.0
0.42	178.0	174.0	178.0	176.0	1.0	0.0	0.0	4.0	0.0	2.0
0.43	184.0	181.0	184.0	183.0	1.0	0.0	0.0	3.0	0.0	1.0
0.44	204.0	203.0	204.0	204.0	1.0	0.0	0.0	1.0	0.0	0.0
0.45	198.0	196.0	198.0	198.0	0.0	0.0	0.0	2.0	0.0	0.0
0.46	174.0	174.0	174.0	174.0	0.0	0.0	0.0	0.0	0.0	0.0
0.47	147.0	147.0	147.0	147.0	3.0	1.0	0.0	0.0	0.0	0.0
0.48	156.0	155.0	156.0	156.0	0.0	0.0	1.0	1.0	0.0	0.0
0.49	162.0	161.0	162.0	162.0	1.0	0.0	0.0	1.0	0.0	0.0
0.5	151.0	151.0	151.0	151.0	3.0	0.0	0.0	0.0	0.0	0.0
0.51	163.0	162.0	163.0	162.0	1.0	0.0	1.0	1.0	0.0	1.0
0.52	163.0	163.0	163.0	163.0	3.0	1.0	0.0	0.0	0.0	0.0
0.53	171.0	170.0	171.0	171.0	1.0	0.0	0.0	1.0	0.0	0.0
0.54	155.0	155.0	155.0	155.0	2.0	0.0	0.0	0.0	0.0	0.0
0.55	163.0	162.0	163.0	163.0	0.0	1.0	0.0	1.0	0.0	0.0
0.56	132.0	131.0	132.0	132.0	0.0	0.0	0.0	1.0	0.0	0.0
0.5700000000000001	159.0	157.0	159.0	158.0	0.0	1.0	1.0	2.0	0.0	1.0
0.58	159.0	158.0	159.0	159.0	1.0	0.0	0.0	1.0	0.0	0.0
0.59	144.0	141.0	144.0	144.0	0.0	1.0	0.0	3.0	0.0	0.0
0.6	147.0	147.0	147.0	147.0	1.0	1.0	1.0	0.0	0.0	0.0
0.61	142.0	142.0	142.0	142.0	2.0	1.0	0.0	0.0	0.0	0.0
0.62	130.0	130.0	130.0	130.0	0.0	0.0	0.0	0.0	0.0	0.0
0.63	129.0	127.0	129.0	128.0	0.0	0.0	1.0	2.0	0.0	1.0
0.64	144.0	142.0	144.0	144.0	0.0	2.0	2.0	2.0	0.0	0.0
0.65	119.0	118.0	119.0	119.0	0.0	1.0	0.0	1.0	0.0	0.0
0.66	121.0	121.0	121.0	121.0	2.0	0.0	0.0	0.0	0.0	0.0
0.67	117.0	116.0	117.0	117.0	0.0	0.0	0.0	1.0	0.0	0.0
0.68	104.0	104.0	104.0	104.0	0.0	1.0	1.0	0.0	0.0	0.0
0.6900000000000001	128.0	128.0	128.0	128.0	2.0	0.0	0.0	0.0	0.0	0.0
0.7000000000000001	115.0	113.0	115.0	115.0	0.0	0.0	1.0	2.0	0.0	0.0
0.71	113.0	111.0	113.0	111.0	2.0	1.0	0.0	2.0	0.0	2.0
0.72	108.0	107.0	108.0	108.0	1.0	1.0	1.0	1.0	0.0	0.0
0.73	112.0	112.0	112.0	112.0	2.0	0.0	0.0	0.0	0.0	0.0
0.74	118.0	117.0	118.0	118.0	1.0	0.0	0.0	1.0	0.0	0.0
0.75	99.0	98.0	99.0	99.0	2.0	1.0	0.0	1.0	0.0	0.0
0.76	133.0	133.0	133.0	133.0	0.0	0.0	0.0	0.0	0.0	0.0
0.77	101.0	101.0	101.0	101.0	1.0	0.0	0.0	0.0	0.0	0.0
0.78	80.0	79.0	80.0	80.0	0.0	0.0	0.0	1.0	0.0	0.0
0.79	95.0	95.0	95.0	95.0	2.0	0.0	0.0	0.0	0.0	0.0
0.8	102.0	102.0	102.0	102.0	1.0	0.0	0.0	0.0	0.0	0.0
0.81	107.0	107.0	107.0	107.0	0.0	1.0	0.0	0.0	0.0	0.0
0.8200000000000001	99.0	97.0	99.0	99.0	0.0	2.0	1.0	2.0	0.0	0.0
0.8300000000000001	98.0	95.0	98.0	97.0	3.0	0.0	0.0	3.0	0.0	1.0
0.84	94.0	91.0	94.0	94.0	0.0	1.0	1.0	3.0	0.0	0.0
0.85	102.0	101.0	102.0	102.0	1.0	1.0	1.0	1.0	0.0	0.0
0.86	103.0	103.0	103.0	103.0	0.0	0.0	0.0	0.0	0.0	0.0
0.87	122.0	121.0	122.0	122.0	1.0	0.0	0.0	1.0	0.0	0.0
0.88	99.0	97.0	99.0	98.0	2.0	0.0	0.0	2.0	0.0	1.0
0.89	96.0	93.0	96.0	96.0	4.0	0.0	0.0	3.0	0.0	0.0
0.9	103.0	101.0	103.0	103.0	1.0	0.0	0.0	2.0	0.0	0.0
